t;x1;x2;x3
0;0;0;0
1;0.00771682057640394;3.19442460314303e-05;0.000267877436761201
2;0.0151790681177973;0.000100315413001353;0.000727467779243965
3;0.0224819291914255;0.000194566571188104;0.00129793156797708
4;0.029658999757942;0.000310289782725544;0.0019519252211281
5;0.0367296214347715;0.000444756781116137;0.00267407272749723
6;0.0437068032969912;0.000596039090901958;0.00345422152217785
7;0.0506000685930145;0.000762670325870798;0.00428505497227954
8;0.0574167764770281;0.000943481971036351;0.00516099665690753
9;0.064162832774473;0.00113751181714711;0.00607762689523022
10;0.0708431113398767;0.00134394803050658;0.00703133982353299
11;0.0774617219858758;0.00156209266917686;0.00801912702918683
12;0.0840221901385399;0.00179133666827276;0.00903843349884824
13;0.0905275824313485;0.00203114200347379;0.0100870575759559
14;0.0969805975128539;0.00228102856361609;0.0111630790717041
15;0.103383633553463;0.00254056423302666;0.0122648061314573
16;0.109738839615754;0.00280935723224134;0.0133907350232823
17;0.116048155531185;0.00308705009091152;0.0145395190859653
18;0.122313343390803;0.00337331482772261;0.0157099443291712
19;0.128536012788548;0.00366784904082587;0.0169009099675013
20;0.134717641324774;0.00397037269716875;0.0181114126820005
21;0.140859591455521;0.00428062546658699;0.0193405337437728
22;0.146963124483934;0.0045983644863494;0.0205874283672119
23;0.153029412287872;0.00492336247001138;0.021851316822719
24;0.159059547233519;0.0052554060947189;0.0231314769541573
25;0.165054550620211;0.00559429461595472;0.0244272378296945
26;0.171015379924666;0.00593983866975291;0.0257379743159018
27;0.176942935055299;0.0062918592307174;0.0270631024105491
28;0.182838063783843;0.00665018670051471;0.0284020752038934
29;0.188701566488215;0.00701466010639552;0.0297543793644626
30;0.194534200314859;0.00738512639310399;0.0311195320655447
31;0.200336682848743;0.0077614397945262;0.0324970782843297
32;0.20610969536332;0.00814346127380299;0.0338865884180128
33;0.211853885710237;0.00853105802253185;0.0352876561709757
34;0.217569870898479;0.0089241030112134;0.0366998966749883
35;0.223258239404523;0.00932247458434098;0.0381229448106813
36;0.228919553248464;0.00972605609454752;0.0395564537036457
37;0.234554349865705;0.0101347355710598;0.0410000933726832
38;0.240163143799319;0.0105484054184008;0.0424535495111541
39;0.245746428234567;0.0109669621418559;0.0439165223851899
40;0.251304676393963;0.0113903060966995;0.0453887258348832
41;0.256838342808741;0.0118183412585839;0.0468698863665231
42;0.262347864480433;0.0122509750128295;0.0483597423255807
43;0.267833661944435;0.0126881179606496;0.0498580431415328
44;0.273296140245948;0.0131296837405864;0.0513645486367752
45;0.278735689837316;0.0135755888636451;0.052879028392874
46;0.284152687404715;0.0140257525607948;0.0544012611682416
47;0.289547496631177;0.0144800966416615;0.0559310343620556
48;0.294920468902078;0.0149385453633699;0.0574681435198524
49;0.300271943958571;0.0154010253086106;0.0590123918767699
50;0.305602250503761;0.0158674652721081;0.0605635899348714
51;0.310911706765927;0.0163377961547564;0.062121555071389
52;0.316200621022626;0.016811950864763;0.0636861111750696
53;0.321469292089077;0.0172898642252132;0.0652570883081172
54;0.326718009773899;0.0177714728875241;0.0668343223914863
55;0.33194705530495;0.0182567152503112;0.0684176549115191
56;0.337156701727729;0.0187455313832391;0.0700069326461243
57;0.342347214278565;0.0192378629554637;0.0716020074088749
58;0.347518850734619;0.0197336531683174;0.0732027358095653
59;0.352671861742488;0.020232846691914;0.0748089790299083
60;0.357806491127079;0.0207353896053853;0.0764206026131788
61;0.362922976182239;0.0212412293404834;0.0780374762667242
62;0.368021547944503;0.0217503146283074;0.07965947367636
63;0.373102431451182;0.0222625954489348;0.0812864723317591
64;0.378165845983946;0.022778022983755;0.0829183533620235
65;0.383212005298904;0.0232965495703216;0.0845550013806977
66;0.388241117844146;0.0238181286595517;0.0861963043395473
67;0.393253386965591;0.0243427147751199;0.087842153390486
68;0.398249011101955;0.0248702634749005;0.0894924427550834
69;0.403228183969542;0.0254007313143281;0.0911470696011356
70;0.408191094737547;0.0259340758115545;0.092805933925821
71;0.413137928194475;0.0264702554142897;0.0944689384450037
72;0.418068864906255;0.0270092294682222;0.0961359884882807
73;0.422984081366556;0.027550958186925;0.0978069918994015
74;0.427883750139807;0.0280954026231553;0.0994818589417169
75;0.432768039997366;0.0286425246414683;0.10116050220834
76;0.437637116047235;0.029192286892066;0.102842836536726
77;0.44249113985774;0.0297446527858113;0.104528778927403
78;0.447330269575494;0.0302995864703418;0.106218248466595
79;0.452154660038007;0.030857052807219;0.107911166252514
80;0.456964462881234;0.0314170173500588;0.109607455325094
81;0.461759826642353;0.0319794463235868;0.111307040598976
82;0.46654089685804;0.0325443066035704;0.113009848799551
83;0.471307816158492;0.03311156569758;0.114715808401887
84;0.476060724357427;0.0336811917265354;0.116424849572376
85;0.480799758538284;0.034253153406997;0.118136904112959
86;0.485525053136823;0.0348274200341631;0.119851905407778
87;0.490236740020308;0.0354039614655381;0.121569788372121
88;0.494934948563472;0.0359827481052359;0.123290489403548
89;0.499619805721405;0.0365637508888896;0.125013946335073
90;0.504291436099537;0.0371469412691353;0.126740098390299
91;0.508949962020864;0.0377322912016438;0.128468886140397
92;0.513595503590547;0.0383197731316719;0.130200251462848
93;0.518228178758011;0.0389093599811112;0.13193413750184
94;0.522848103376687;0.0395010251360084;0.133670488630254
95;0.527455391261478;0.0400947424345367;0.135409250413151
96;0.532050154244091;0.0406904861553966;0.137150369572683
97;0.536632502226312;0.0412882310066276;0.138893793954371
98;0.541202543231332;0.0418879521148109;0.140639472494667
99;0.545760383453212;0.0424896250146466;0.142387355189757
100;0.550306127304571;0.0430932256388886;0.144137393065526
